繁體(OpenCC)	原書詞頭	简体	吴拼
咪○	咪○	咪○	mhi5
咪咪	咪咪	咪咪	mhi mhi
咪咪笑	咪咪笑	咪咪笑	mhi mhi shiau
眯	眯	眯	mhi5
眯覷眼	眯覷眼	眯觑眼	mhi tshyu ngae
眯覷眼	眯覷眼	眯觑眼	mhi chi ngae
眯眯大	眯眯大	眯眯大	mhi mhi dou
眯過眼笑	眯過眼笑	眯过眼笑	mhi kou ngae shiau
𡬍花眼𥉻	𡬍花眼𥉻	𡬍花眼𥉻	mi huo ngae chi
未	未	未	mi6
米	米	米	mi6
米篩	米篩	米筛	mi sy
米字格	米字格	米字格	mi zy kaq
米蛀蟲	米蛀蟲	米蛀虫	mi tsyu dzon
米蟲	米蟲	米虫	mi dzon
米麪	米麵	米面	mi mi
米店	米店	米店	mi ti
米醋	米醋	米醋	mi tshu
米糊	米糊	米糊	mi wu
米棧房	米棧房	米栈房	mi dzae vaon
米酒	米酒	米酒	mi cieu
米甏	米甏	米甏	mi ban
米漿泔水	米漿泔水	米浆泔水	mi cian ki syu
米廠	米廠	米厂	mi chian
米胖	米胖	米胖	mi phaon
米缸	米缸	米缸	mi kaon
米行	米行	米行	mi ghaon
米饅頭	米饅頭	米馒头	mi mun deu
米囤	米囤	米囤	mi den
米飲湯	米飲湯	米饮汤	mi in thaon
米桶	米桶	米桶	mi don
米達尺	米達尺	米达尺	mi daq tshaq
米色	米色	米色	mi saq
免費學堂	免費學堂	免费学堂	mi fi ghoq daon
尾子骨	尾子骨	尾子骨	mi tsy kuaq
尾子骨	尾子骨	尾子骨	vi tsy kuaq
味道	味道	味道	mi dau
面	面	面	mi6
面刺刺	面刺刺	面刺刺	mi tshy tshy
面水	面水	面水	mi syu
面皮老	面皮老	面皮老	mi bi lau
面面叫	面面叫	面面叫	mi mi ciau
面前	面前	面前	mi zhi
面友	面友	面友	mi yeu
面盤子	面盤子	面盘子	mi bun tsy
面架子	面架子	面架子	mi ko tsy
面登	面登	面登	mi ten
面頭登	面頭登	面头登	mi deu ten
面情	面情	面情	mi jin
面桶	面桶	面桶	mi don
面盆	面盆	面盆	mi ben
面桶架	面桶架	面桶架	mi don ko
面孔	面孔	面孔	mi khon
面頰巴	面頰巴	面颊巴	mi kaq po
面熟	面熟	面熟	mi zoq
彌海碗	彌海碗	弥海碗	mi he un
鮸魚	鮸魚	𩾃鱼	mi ng
米魚	米魚	米鱼	mi ng
麪	麵	面	mi6
麪糊	麵糊	面糊	mi wu
麪杖魚	麵杖魚	面杖鱼	mi jian ng
麪粉	麵粉	面粉	mi fen
麪粉袋	麵粉袋	面粉袋	mi fen de
麪筋	麵筋	面筋	mi cin
麪疙瘩	麵疙瘩	面疙瘩	mi kaq taq
麪食	麵食	面食	mi zhiq
飛象	飛象	飞象	fi zhian
飛相	飛相	飞相	fi shian
菲薄	菲薄	菲薄	fi boq
菲薄裏	菲薄裏	菲薄里	fi boq li
肺	肺	肺	fi5
肺炎	肺炎	肺炎	fi yi
肺家	肺家	肺家	fi ko
肺頭	肺頭	肺头	fi deu
痱子	痱子	痱子	fi tsy
痱子癗	痱子癗	痱子癗	fi tsy lei
痱子粉	痱子粉	痱子粉	fi tsy fen
未	未	未	vi6
味	味	味	vi6
味之素	味之素	味之素	vi tsy su
低	低	低	ti1
低便○	低便○	低便○	ti bi
低頭	低頭	低头	ti deu
蒂頭	蒂頭	蒂头	ti deu
點心	點心	点心	ti shin
點心	點心	点心	te shin
點心時	點心時	点心时	ti shin zy
點心飯	點心飯	点心饭	ti shin vae
點心飯	點心飯	点心饭	te shin vae
顛	顛	颠	ti1
顛三倒四	顛三倒四	颠三倒四	ti sae tau sy
抵配	抵配	抵配	ti phei
抵針	抵針	抵针	ti cin
底下	底下	底下	ti gho
底紅	底紅	底红	ti ghon
典主	典主	典主	ti tsyu
點	點	点	ti3
點亮	點亮	点亮	ti lian
點名	點名	点名	ti min
點名簿	點名簿	点名簿	ti min bu
店	店	店	ti5
店面	店面	店面	ti mi
店家	店家	店家	ti ko
店堂	店堂	店堂	ti daon
店堂間	店堂間	店堂间	ti daon kae
店倌	店倌	店倌	ti kun
渧	渧	渧	ti5
踮	踮	踮	ti5
踮腳	踮腳	踮脚	ti ciaq
天水	天水	天水	thi syu
天落水	天落水	天落水	thi loq syu
天妃娘娘	天妃娘娘	天妃娘娘	thi fi gnian gnian
天裏	天裏	天里	thi li
天裏菩薩	天裏菩薩	天里菩萨	thi li bu saq
天牌	天牌	天牌	thi ba
天靉攏來	天靉攏來	天叆拢来	thi a lon le
天夜	天夜	天夜	thi ya
天皰瘡	天疱瘡	天疱疮	thi phau tshaon
天價	天價	天价	thi ko
天價冷	天價冷	天价冷	thi ko lan
天價熱	天價熱	天价热	thi ko gniq
天花	天花	天花	thi huo
出天花	出天花	出天花	tshyuq thi huo
天花板	天花板	天花板	thi huo pae
天菜	天菜	天菜	thi tshe
天菜蕻	天菜蕻	天菜蕻	thi tshe hon
天菜心	天菜心	天菜心	thi tshe shin
天開眼	天開眼	天开眼	thi khe ngae
天膽地大	天膽地大	天胆地大	thi tae di dou
天藍	天藍	天蓝	thi lae
天旱	天旱	天旱	thi ghei
天蘿	天蘿	天萝	thi lou
天蘿箲	天蘿箲	天萝箲	thi lou shi
天蘿花箲	天蘿花箲	天萝花箲	thi lou huo shi
天河	天河	天河	thi ghou
天狗喫日頭	天狗喫日頭	天狗吃日头	thi keu chioq gniq deu
天狗拖日頭	天狗拖日頭	天狗拖日头	thi keu thou gniq deu
天狗拖日頭	天狗拖日頭	天狗拖日头	thi keu tha gniq deu
天狗喫月亮	天狗喫月亮	天狗吃月亮	thi keu chioq yuq lian
天狗拖月亮	天狗拖月亮	天狗拖月亮	thi keu thou yuq lian
天狗拖月亮	天狗拖月亮	天狗拖月亮	thi keu tha yuq lian
天打煞	天打煞	天打煞	thi tan saq
天窗	天窗	天窗	thi tshaon
天平	天平	天平	thi bin
天平秤	天平秤	天平秤	thi bin chin
天庭	天庭	天庭	thi din
天井	天井	天井	thi cin
天心	天心	天心	thi shin
天童寺	天童寺	天童寺	thi don zy
天日	天日	天日	thi gniq
天一閣	天一閣	天一阁	thi iq koq
添	添	添	thi1
添裏布衫	添裏布衫	添里布衫	thi li pu sae
添裏褲	添裏褲	添里裤	thi li khu
掭筆	掭筆	掭笔	thi piq
舔	舔	舔	thi3
體○體○汰○汰○	體○體○汰○汰○	体○体○汰○汰○	thi thi tha tha
體○裏汰○剌	體○裏汰○剌	体○里汰○剌	thi li tha la
體○汰○	體○汰○	体○汰○	thi tha
體○汰○婆	體○汰○婆	体○汰○婆	thi tha bou
體○汰○阿姆	體○汰○阿姆	体○汰○阿姆	thi tha an m
體拓	體拓	体拓	thi thoq
䪆	䪆	䪆	thi5
䪆潔	䪆潔	䪆洁	thi ciq
剃牙鬚	剃牙鬚	剃牙须	thi ngo su
剃頭	剃頭	剃头	thi deu
剃頭店	剃頭店	剃头店	thi deu ti
剃頭剪刀	剃頭剪刀	剃头剪刀	thi deu ci tau
剃頭椅子	剃頭椅子	剃头椅子	thi deu i tsy
剃頭椅子	剃頭椅子	剃头椅子	thi deu iu tsy
剃頭椅子	剃頭椅子	剃头椅子	thi deu u tsy
剃頭刀	剃頭刀	剃头刀	thi deu tau
剃頭擔	剃頭擔	剃头担	thi deu tae
剃頭郎	剃頭郎	剃头郎	thi deu laon
剃頭師父	剃頭師父	剃头师父	thi deu sy vu
替手	替手	替手	thi shieu
田	田	田	di2
田鼠	田鼠	田鼠	di tshyu
田老蟲	田老蟲	田老虫	di lau dzon
田雞	田鷄	田鸡	di ci
田畈	田畈	田畈	di pae
畈	畈	畈	pae3
田墈	田墈	田墈	di khae
田螺	田螺	田螺	di lou
田螺眼	田螺眼	田螺眼	di lou ngae
田螺欶	田螺欶	田螺欶	di lou soq
