繁體(OpenCC)	原書詞頭	简体	吴拼
色○水	色○水	色○水	saq syu
色○色○澾澾	色○色○澾澾	色○色○㳠㳠	saq saq daq daq
色○雪	色○雪	色○雪	saq soq
眨	眨	眨	saq7
𥈊	𥈊	𥈊	saq7
殺豬屠	殺豬屠	杀猪屠	saq tsyu du
殺坯	殺坯	杀坯	saq phei
殺頭	殺頭	杀头	saq deu
塞○	塞○	塞○	saq7
塞飯	塞飯	塞饭	saq vae
塞飯榔頭	塞飯榔頭	塞饭榔头	saq vae laon deu
塞暗亮頭	塞暗亮頭	塞暗亮头	saq ei lian deu
塞銅鈿	塞銅鈿	塞铜钿	saq don di
塞頭	塞頭	塞头	saq deu
煞	煞	煞	saq7
煞快	煞快	煞快	saq khua
煞死	煞死	煞死	saq shi
煞人	煞人	煞人	saq gnin
煞扣	煞扣	煞扣	saq kheu
煞清爽	煞清爽	煞清爽	saq chin saon
煞煞清爽	煞煞清爽	煞煞清爽	saq saq chin saon
煞辣清爽	煞辣清爽	煞辣清爽	saq laq chin saon
煞辣斯清爽	煞辣斯清爽	煞辣斯清爽	saq laq sy chin saon
煞性	煞性	煞性	saq shin
煞性健	煞性健	煞性健	saq shin ji
煞○拱○	煞○拱○	煞○拱○	saq kon
煞潑	煞潑	煞泼	saq phaq
煞辣	煞辣	煞辣	saq laq
煞納	煞納	煞纳	saq naq
煞煞口	煞煞口	煞煞口	saq saq kheu
煞格	煞格	煞格	saq kaq
煞縛	煞縛	煞缚	saq bou
煞煞格格	煞煞格格	煞煞格格	saq saq kaq kaq
煞煞縛縛	煞煞縛縛	煞煞缚缚	saq saq bou bou
嗇比比	啬比比	啬比比	saq pi pi
蝨	蝨	虱	saq7
蝨末鬼	蝨末鬼	虱末鬼	saq maq ciu
蝨末老鬼	蝨末老鬼	虱末老鬼	saq maq lau ciu
澀口	澀口	涩口	saq kheu
澀肯頭	澀肯頭	涩肯头	saq khen deu
澀肯肯	澀肯肯	涩肯肯	saq khen khen
澀格格	澀格格	涩格格	saq kaq kaq
𧼰時裏	𧼰時裏	𧼰时里	zaq zy li
𧼰時	𧼰時	𧼰时	zaq zy
石子	石子	石子	zaq tsy
石庫門	石庫門	石库门	zaq khu men
石庫牆門	石庫牆門	石库墙门	zaq khu zhian men
石階沿	石階沿	石阶沿	zaq ka yi
石蟹	石蟹	石蟹	zaq ha
石蛋子	石蛋子	石蛋子	zaq dae tsy
石卵子	石卵子	石卵子	zaq loe tsy
石榴	石榴	石榴	zaq lieu
石灰	石灰	石灰	zaq huei
石磨	石磨	石磨	zaq mou
石頭	石頭	石头	zaq deu
石硬	石硬	石硬	zaq ngan
石石硬	石石硬	石石硬	zaq zaq ngan
石骨硬	石骨硬	石骨硬	zaq kuaq ngan
石骨鐵硬	石骨鐵硬	石骨铁硬	zaq kuaq thiq ngan
石匠	石匠	石匠	zaq zhian
石巖	石岩	石岩	zaq ngae
閘○出	閘○出	闸○出	zaq tshyuq
賊	賊	贼	zaq8
賊苦出	賊苦出	贼苦出	zaq khu tshyuq
賊苦	賊苦	贼苦	zaq khu
賊賊苦	賊賊苦	贼贼苦	zaq zaq khu
賊老頭	賊老頭	贼老头	zaq lau deu
賊話	賊話	贼话	zaq wo
賊臭	賊臭	贼臭	zaq chieu
賊賊臭	賊賊臭	贼贼臭	zaq zaq chieu
賊坯	賊坯	贼坯	zaq phei
賊窩家	賊窩家	贼窝家	zaq ou ko
賊頭狗腦	賊頭狗腦	贼头狗脑	zaq deu keu nau
賊腔	賊腔	贼腔	zaq chian
賊笨	賊笨	贼笨	zaq ben
賊賊笨	賊賊笨	贼贼笨	zaq zaq ben
賊勒兒子	賊勒兒子	贼勒儿子	zaq laq ng tsy
賊骨頭	賊骨頭	贼骨头	zaq kuaq deu
賊嘸狗樣	賊嘸狗樣	贼呒狗样	zaq mh keu yan
鍘刀	鍘刀	铡刀	zaq tau
雜格愣敦	雜格愣敦	杂格愣敦	zaq kaq len ten
𧾁	𧾁	𧾁	zaq8
夾	夾	夹	kaq7
夾裏面爿	夾裏面爿	夹里面爿	kaq li mi bae
夾大衣	夾大衣	夹大衣	kaq da i
夾襖	夾襖	夹袄	kaq au
夾衫	夾衫	夹衫	kaq sae
夾䩍白	夾䩍白	夹䩍白	kaq liau baq
夾籮	夾籮	夹箩	kaq lou
夾生	夾生	夹生	kaq san
夾生飯	夾生飯	夹生饭	kaq san vae
夾生米飯	夾生米飯	夹生米饭	kaq san mi vae
夾心餅乾	夾心餅乾	夹心饼干	kaq shin pin ki
夾腳縫	夾腳縫	夹脚缝	kaq ciaq von
疙嘴疙得	疙嘴疙得	疙嘴疙得	kaq tsyu kaq taq
疙裏疙得	疙裏疙得	疙里疙得	kaq li kaq taq
疙瘩	疙瘩	疙瘩	kaq taq
革○着	革○着	革○着	kaq zyuq
䀫	䀫	䀫	kaq7
格	格	格	kaq7
格○	格○	格○	kaq7
格步階	格步階	格步阶	kaq bu kae
格步路梯	格步路梯	格步路梯	kaq bu lu the
格貌	格貌	格貌	kaq mau
格貌介	格貌介	格貌介	kaq mau ka
格相貌	格相貌	格相貌	kaq shian mau
格相貌介	格相貌介	格相貌介	kaq shian mau ka
格貌介	格貌介	格貌介	kaq mau kaq
格相貌介	格相貌介	格相貌介	kaq shian mau kaq
格○算	格○算	格○算	kaq soe
格○頭格○腦	格○頭格○腦	格○头格○脑	kaq deu kaq nau
格楞敦	格楞敦	格楞敦	kaq len ten
格星	格星	格星	kaq shin
格末	格末	格末	kaq maq
格勒	格勒	格勒	kaq laq
格柵	格栅	格栅	kaq saq
割	割	割	kaq7
割螄螺	割螄螺	割蛳螺	kaq sy lou
割稻	割稻	割稻	kaq dau
割稻時	割稻時	割稻时	kaq dau zy
割稻人客	割稻人客	割稻人客	kaq dau gnin khaq
割早稻	割早稻	割早稻	kaq tsau dau
割晚青	割晚青	割晚青	kaq mae chin
割晚稻	割晚稻	割晚稻	kaq mae dau
割夜稻	割夜稻	割夜稻	kaq ya dau
割青草	割青草	割青草	kaq chin tshau
割麥	割麥	割麦	kaq maq
蛤皮	蛤皮	蛤皮	kaq bi
蛤底泥	蛤底泥	蛤底泥	kaq ti gni
蛤蜊油	蛤蜊油	蛤蜊油	kaq li yeu
蚌殼油	蚌殼油	蚌壳油	ban khoq yeu
蛤蚆	蛤蚆	蛤蚆	kaq po
隔○	隔○	隔○	kaq7
隔手賬	隔手賬	隔手账	kaq shieu cian
隔火牆	隔火牆	隔火墙	kaq hou zhian
隔○進隔○出	隔○進隔○出	隔○进隔○出	kaq cin kaq tshyuq
隔壁	隔壁	隔壁	kaq piq
隔壁鄰舍	隔壁鄰舍	隔壁邻舍	kaq piq lin so
隔壁叔婆	隔壁叔婆	隔壁叔婆	kaq piq soq bou
隔○舌頭	隔○舌頭	隔○舌头	kaq zhiq deu
隔○出	隔○出	隔○出	kaq tshyuq
塥泥	塥泥	塥泥	kaq gni
槅子	槅子	槅子	kaq tsy
㾸𤶁	㾸𤶁	㾸𤶁	kaq lau
克舵	克舵	克舵	khaq dou
刻	刻	刻	khaq7
刻忖	刻忖	刻忖	khaq tshen
咳嗽	咳嗽	咳嗽	khaq seu
客	客	客	khaq7
客邊	客邊	客边	khaq pi
客車	客車	客车	khaq tsho
客棧	客棧	客栈	khaq dzae
客堂間	客堂間	客堂间	khaq daon kae
剋落	剋落	克落	khaq loq
掐	掐	掐	khaq7
掐算	掐算	掐算	khaq soe
掐膿	掐膿	掐脓	khaq non
揢	揢	揢	khaq7
磕開	磕開	磕开	khaq khe
磕煞	磕煞	磕煞	khaq saq
磕跌	磕跌	磕跌	khaq tiq
磕	磕	磕	khaq7
磕頭蟲	磕頭蟲	磕头虫	khaq deu dzon
瞌𥅻	瞌𥅻	瞌𥅻	khaq tshon
瞌𥅻面貌	瞌𥅻面貌	瞌𥅻面貌	khaq tshon mi mau
瞌𥅻懵懂	瞌𥅻懵懂	瞌𥅻懵懂	khaq tshon mon ton
軋	軋	轧	gaq8
軋米	軋米	轧米	gaq mi
軋起軋倒	軋起軋倒	轧起轧倒	gaq chi gaq tau
軋鉗	軋鉗	轧钳	gaq ji
軋刀	軋刀	轧刀	gaq tau
軋道	軋道	轧道	gaq dau
軋稻	軋稻	轧稻	gaq dau
軋牢	軋牢	轧牢	gaq lau
軋苗頭	軋苗頭	轧苗头	gaq miau deu
軋花被	軋花被	轧花被	gaq huo bi
軋花子	軋花子	轧花子	gaq huo tsy
軋頭寸	軋頭寸	轧头寸	gaq deu tshen
軋朋友	軋朋友	轧朋友	gaq ban yeu
軋賬	軋賬	轧账	gaq cian
軋姘頭	軋姘頭	轧姘头	gaq phin deu
軋平	軋平	轧平	gaq bin
軋穀	軋穀	轧谷	gaq koq
軋直	軋直	轧直	gaq jiq
軋一腳	軋一腳	轧一脚	gaq iq ciaq
軋出	軋出	轧出	gaq tshyuq
扤	扤	扤	nkaq7
扤頭	扤頭	扤头	nkaq deu
扤頭	扤頭	扤头	ngaq deu
額角頭	額角頭	额角头	ngaq koq deu
齾	齾	𫜰	ngaq8
黑	黑	黑	haq7
黑的剝落	黑的剝落	黑的剥落	haq tiq poq loq
黑鐵撲落	黑鐵撲落	黑铁扑落	haq thiq phoq loq
黑茲茲	黑兹兹	黑兹兹	haq tsy tsy
黑子	黑子	黑子	haq tsy
黑市	黑市	黑市	haq zy
黑無常	黑無常	黑无常	haq wu dzaon
黑棗	黑棗	黑枣	haq tsau
黑麻粉	黑麻粉	黑麻粉	haq mo fen
黑洋酥	黑洋酥	黑洋酥	haq yan su
黑叉	黑叉	黑叉	haq tsho
黑板	黑板	黑板	haq pae
黑炭	黑炭	黑炭	haq thae
黑藍	黑藍	黑蓝	haq lae
黑油筒	黑油筒	黑油筒	haq yeu don
黑油菜	黑油菜	黑油菜	haq yeu tshe
黑油綠	黑油綠	黑油绿	haq yeu loq
黑清老早	黑清老早	黑清老早	haq chin lau tsau
黑心	黑心	黑心	haq shin
黑木耳	黑木耳	黑木耳	haq moq er
黑出出	黑出出	黑出出	haq tshyuq tshyuq
瞎三話四	瞎三話四	瞎三话四	haq sae wo sy
瞎眼	瞎眼	瞎眼	haq ngae
瞎講相	瞎講相	瞎讲相	haq kaon shian
嚇	嚇	吓	haq7
嚇老老	嚇老老	吓老老	haq lau lau
嚇勢勢	嚇勢勢	吓势势	haq syu syu
嚇嫩	嚇嫩	吓嫩	haq nen
嚇嚇嫩	嚇嚇嫩	吓吓嫩	haq haq nen
嚇刮嫩	嚇刮嫩	吓刮嫩	haq kuaq nen
嚇刮斯嫩	嚇刮斯嫩	吓刮斯嫩	haq kuaq sy nen
嚇人倒怪	嚇人倒怪	吓人倒怪	haq gnin tau kua
嚇煞	嚇煞	吓煞	haq saq
合撲	合撲	合扑	ghaq phoq
狹	狭	狭	ghaq8
狹倰倰	狹倰倰	狭倰倰	ghaq len len
盒	盒	盒	ghaq8
厄○掉	厄○掉	厄○掉	aq diau
厄○伏○氣	厄○伏○氣	厄○伏○气	aq boq chi
厄○伏○伏○	厄○伏○伏○	厄○伏○伏○	aq boq boq
厄○伏○幾糟	厄○伏○幾糟	厄○伏○几糟	aq boq ci tsau
阿	阿	阿	aq7
阿弟	阿弟	阿弟	aq di
阿裏	阿裏	阿里	aq li
阿裏眼	阿裏眼	阿里眼	aq li ngae
阿裏一眼	阿裏一眼	阿里一眼	aq li iq ngae
阿裏個	阿裏個	阿里个	aq li goq
阿裏一個	阿裏一個	阿里一个	aq li iq goq
阿裏個	阿裏個	阿里个	aq li kou
阿裏一個	阿裏一個	阿里一个	aq li iq kou
阿姊	阿姊	阿姊	aq ci
阿姨	阿姨	阿姨	aq yi
阿姑	阿姑	阿姑	aq ku
阿姑侄子	阿姑姪子	阿姑侄子	aq ku jiq tsy
阿太	阿太	阿太	aq tha
阿爹	阿爹	阿爹	aq tia
阿姐	阿姐	阿姐	aq cia
阿姐屄	阿姐屄	阿姐屄	aq cia pi
阿姐式	阿姐式	阿姐式	aq cia shiq
阿姐式	阿姐式	阿姐式	aq cia soq
阿爺	阿爺	阿爷	aq ya
阿爺孫子	阿爺孫子	阿爷孙子	aq ya sen tsy
阿嫂	阿嫂	阿嫂	aq sau
阿小	阿小	阿小	aq shiau
阿難死	阿難死	阿难死	aq nae shi
阿舅	阿舅	阿舅	aq jieu
阿囡	阿囡	阿囡	aq noe
阿妹	阿妹	阿妹	aq mei
阿婆	阿婆	阿婆	aq bou
阿大	阿大	阿大	aq dou
阿二	阿二	阿二	aq gni
阿三	阿三	阿三	aq sae
阿四	阿四	阿四	aq sy
阿五	阿五	阿五	aq ng
阿六	阿六	阿六	aq loq
阿哥	阿哥	阿哥	aq kou
阿伯	阿伯	阿伯	aq pan
阿孃	阿娘	阿娘	aq gnian
阿鄉	阿鄉	阿乡	aq shian
阿防	阿防	阿防	aq baon
阿講	阿講	阿讲	aq kaon
阿講	阿講	阿讲	oq kaon
阿戇	阿戇	阿戆	aq gaon
阿伴	阿伴	阿伴	aq bun
阿奶	阿奶	阿奶	aq na
阿嬸	阿嬸	阿婶	aq shin
阿叔	阿叔	阿叔	aq son
阿叔侄子	阿叔姪子	阿叔侄子	aq son jiq tsy
阿公老頭	阿公老頭	阿公老头	aq kon lau deu
阿公	阿公	阿公	aq kon
阿伯	阿伯	阿伯	aq paq
阿拉	阿拉	阿拉	aq laq
阿拉兩人	阿拉兩人	阿拉两人	aq laq lian gnin
阿木林	阿木林	阿木林	aq moq lin
阿啥	阿啥	阿啥	aq soq
阿啥	阿啥	阿啥	aq sou
阿啥幹	阿啥幹	阿啥干	aq soq ki
阿啥幹	阿啥幹	阿啥干	aq sou ki
阿啥體	阿啥體	阿啥体	aq soq thi
阿啥體	阿啥體	阿啥体	aq sou thi
阿屈死	阿屈死	阿屈死	aq chiuq shi
阿育王寺	阿育王寺	阿育王寺	aq gnioq waon zy
阿侄	阿姪	阿侄	aq jiq
押去	押去	押去	aq chi
押寶	押寶	押宝	aq pau
壓寶	壓寶	压宝	aq pau
押頭	押頭	押头	aq deu
押房子	押房子	押房子	aq vaon tsy
押金	押金	押金	aq cin
鴨尿臭	鴨尿臭	鸭尿臭	aq syu chieu
鴨廄間	鴨廐間	鸭厩间	aq ji kae
鴨泥	鴨泥	鸭泥	aq gni
鴨蛋	鴨蛋	鸭蛋	aq dae
鴨蛋子	鴨蛋子	鸭蛋子	aq dae tsy
鴨蛋青	鴨蛋青	鸭蛋青	aq dae chin
鴨肫	鴨肫	鸭肫	aq tsyun
鴨肫乾	鴨肫乾	鸭肫干	aq tsyun ki
鴨舌頭	鴨舌頭	鸭舌头	aq zhiq deu
鴨舌頭帽	鴨舌頭帽	鸭舌头帽	aq zhiq deu mau
鴨血	鴨血	鸭血	aq shiuq
壓進	壓進	压进	aq cin
壓末	壓末	压末	aq maq
壓煞	壓煞	压煞	aq saq
壓末名	壓末名	压末名	aq maq min
壓煞名	壓煞名	压煞名	aq saq min
壓髮帽	壓髮帽	压发帽	aq faq mau
壓勿殺	壓勿殺	压勿杀	aq vaq saq
帖	帖	帖	thiaq7
帖子	帖子	帖子	thiaq tsy
貼	貼	贴	thiaq7
貼水	貼水	贴水	thiaq syu
貼紕	貼紕	贴纰	thiaq bi
貼袋	貼袋	贴袋	thiaq de
貼當中	貼當中	贴当中	thiaq taon tson
貼堂房	貼堂房	贴堂房	thiaq daon vaon
貼心	貼心	贴心	thiaq shin
貼隔壁	貼隔壁	贴隔壁	thiaq kaq piq
碟子	碟子	碟子	diaq tsy
疊疊炮	叠叠炮	叠叠炮	diaq diaq phau
掠	掠	掠	liaq8
甲	甲	甲	ciaq7
甲魚	甲魚	甲鱼	ciaq ng
莢	莢	荚	ciaq7
雀子斑	雀子斑	雀子斑	ciaq tsy pae
着棋	着棋	着棋	ciaq ji
着棋子	着棋子	着棋子	ciaq ji tsy
着衣鏡	着衣鏡	着衣镜	ciaq i cin
着顏色	着顏色	着颜色	ciaq ngae saq
腳	腳	脚	ciaq7
腳水	腳水	脚水	ciaq syu
腳面	腳面	脚面	ciaq mi
腳板面	腳板面	脚板面	ciaq pae mi
腳底下	腳底下	脚底下	ciaq ti gho
腳底心	腳底心	脚底心	ciaq ti shin
腳蹄	腳蹄	脚蹄	ciaq di
腳尖	腳尖	脚尖	ciaq ci
腳泥螺	腳泥螺	脚泥螺	ciaq gni lou
腳末泥螺	腳末泥螺	脚末泥螺	ciaq maq gni lou
腳伕	腳夫	脚夫	ciaq fu
腳班	腳班	脚班	ciaq pae
腳爪	腳爪	脚爪	ciaq tsau
腳高腳低	腳高腳低	脚高脚低	ciaq kau ciaq ti
腳銬	腳銬	脚铐	ciaq khau
腳絞仔	腳絞仔	脚绞仔	ciaq gau tsy
腳凹	腳凹	脚凹	ciaq au
腳紗頭	腳紗頭	脚纱头	ciaq so deu
腳搲船	腳搲船	脚搲船	ciaq o zoe
腳橋	腳橋	脚桥	ciaq jiau
腳板	腳板	脚板	ciaq pae
腳底板	腳底板	脚底板	ciaq ti pae
腳䯊頭	腳䯊頭	脚䯊头	ciaq khou deu
腳頭	腳頭	脚头	ciaq deu
腳後跟	腳後跟	脚后跟	ciaq gheu ken
腳碰腳	腳碰腳	脚碰脚	ciaq ban ciaq
腳娘肚	腳娘肚	脚娘肚	ciaq gnian du
腳上腳落	腳上腳落	脚上脚落	ciaq zaon ciaq loq
腳筋	腳筋	脚筋	ciaq cin
腳筋奔斷	腳筋奔斷	脚筋奔断	ciaq cin pen doe
腳底奔穿	腳底奔穿	脚底奔穿	ciaq ti pen tshoe
腳勁	腳勁	脚劲	ciaq jin
腳印	腳印	脚印	ciaq in
腳桶	腳桶	脚桶	ciaq don
腳盆	腳盆	脚盆	ciaq ben
腳魄	腳魄	脚魄	ciaq phaq
腳踏車	腳踏車	脚踏车	ciaq daq tsho
腳色	腳色	脚色	ciaq saq
腳煞	腳煞	脚煞	ciaq saq
腳夾縫	腳夾缝	脚夹缝	ciaq kaq von
腳罅縫	腳罅縫	脚罅缝	ciaq ha von
腳甲末頭	腳甲末頭	脚甲末头	ciaq ciaq maq deu
腳末頭	腳末頭	脚末头	ciaq maq deu
腳甲掐	腳甲掐	脚甲掐	ciaq ciaq khaq
腳骨	腳骨	脚骨	ciaq kuaq
腳骨抖抖	腳骨抖抖	脚骨抖抖	ciaq kuaq teu teu
腳骨筍	腳骨笋	脚骨笋	ciaq kuaq syun
腳膊○絡○頭	腳膊○絡○頭	脚膊○络○头	ciaq boq loq deu
腳盤○路○頭	腳盤○路○頭	脚盘○路○头	ciaq bun lu deu
腳㬹子頭	腳㬹子頭	脚㬹子头	ciaq tsan tsy deu
腳㬹	腳㬹	脚㬹	ciaq tsan
腳鐲	腳鐲	脚镯	ciaq jiuq
𢜭力	𢜭力	𢜭力	jiaq liq
箬殼	箬殼	箬壳	gniaq khoq
鰙鰨	鰙鰨	鰙鳎	gniaq thaq
鰙鰨魚	鰙鰨魚	鰙鳎鱼	gniaq thaq ng
削○	削○	削○	shiaq7
削○冬冬	削○冬冬	削○冬冬	shiaq ton ton
削地𡍲	削地𡍲	削地𡍲	shiaq di taq
削骨臉	削骨臉	削骨脸	shiaq kuaq li
嚼麥糕	嚼麥糕	嚼麦糕	zhiaq maq kau
嚼勿動	嚼勿動	嚼勿动	zhiaq vaq don
嚼勿落	嚼勿落	嚼勿落	zhiaq vaq loq
藥水肥皂	藥水肥皂	药水肥皂	yaq syu bi zau
藥店	藥店	药店	yaq ti
藥碾子	藥碾子	药碾子	yaq gni tsy
藥膏	藥膏	药膏	yaq kau
藥沙罐	藥沙罐	药沙罐	yaq so kun
藥房	藥房	药房	yaq vaon
藥行	藥行	药行	yaq ghaon
藥丸	藥丸	药丸	yaq wun
藥丸	藥丸	药丸	yaq yu
藥粉	藥粉	药粉	yaq fen
藥戥子	藥戥子	药戥子	yaq ten tsy
藥芹	藥芹	药芹	yaq jin
藥腥氣	藥腥氣	药腥气	yaq shin chi
鑰匙	鑰匙	钥匙	yaq zy
刮	刮	刮	kuaq7
刮斯	刮斯	刮斯	kuaq sy
刮水缸腳	刮水缸腳	刮水缸脚	kuaq syu kaon ciaq
刮皮	刮皮	刮皮	kuaq bi
刮皮鬼	刮皮鬼	刮皮鬼	kuaq bi ciu
刮氣	刮氣	刮气	kuaq chi
刮刀布	刮刀布	刮刀布	kuaq tau pu
刮痧	刮痧	刮痧	kuaq so
刮牙鬚	刮牙鬚	刮牙须	kuaq ngo su
刮板	刮板	刮板	kuaq pae
刮得	刮得	刮得	kuaq taq
刮刮	刮刮	刮刮	kuaq kuaq
刮刮抖	刮刮抖	刮刮抖	kuaq kuaq teu
刮結	刮結	刮结	kuaq ciq
骨灰箱	骨灰箱	骨灰箱	kuaq huei shian
骨頭	骨頭	骨头	kuaq deu
骨頭腦髓	骨頭腦髓	骨头脑髓	kuaq deu nau shi
骨僵	骨僵	骨僵	kuaq cian
骨生	骨生	骨生	kuaq san
骨敦	骨敦	骨敦	kuaq ten
骨挺	骨挺	骨挺	kuaq thin
骨骨挺	骨骨挺	骨骨挺	kuaq kuaq thin
筆筆挺	筆筆挺	笔笔挺	piq piq thin
骨針	骨針	骨针	kuaq cin
骨勒斯圓	骨勒斯圓	骨勒斯圆	kuaq laq sy yu
骨篤○	骨篤○	骨笃○	kuaq toq
骨篤翹	骨篤翘	骨笃翘	kuaq toq chiau
骨碌碌	骨碌碌	骨碌碌	kuaq loq loq
骨勒勒	骨勒勒	骨勒勒	kuaq laq laq
骨直	骨直	骨直	kuaq jiq
骨骨直	骨骨直	骨骨直	kuaq kuaq jiq
筆筆直	筆筆直	笔笔直	piq piq jiq
摑耳光	摑耳光	掴耳光	kuaq gni kuaon
闊	闊	阔	khuaq7
闊扁毛豆	闊扁毛豆	阔扁毛豆	khuaq pi mau deu
闊拉柴	闊拉柴	阔拉柴	khuaq la za
☐	☐	☐	guaq8
甩	甩	甩	huaq7
甩流星	甩流星	甩流星	huaq lieu shin
豁	豁	豁	huaq7
豁吹○吹○	豁吹○吹○	豁吹○吹○	huaq tshyu tshyu
豁水	豁水	豁水	huaq syu
豁邊	豁邊	豁边	huaq pi
豁拳	豁拳	豁拳	huaq jiu
豁開	豁開	豁开	huaq khe
豁大大	豁大大	豁大大	huaq dou dou
豁朵朵	豁朵朵	豁朵朵	huaq to to
豁辣面	豁辣面	豁辣面	huaq laq mi
豁出	豁出	豁出	huaq tshyuq
豁出木屐	豁出木屐	豁出木屐	huaq tshyuq moq jiq
囫圇	囫圇	囫囵	waq len
活被	活被	活被	waq bei
活氽活滾	活氽活滾	活氽活滚	waq then waq kuen
活猻	活猻	活狲	waq sen
活猻屁股	活猻屁股	活狲屁股	waq sen phi ku
活靈	活靈	活灵	waq lin
活靈嚇出	活靈嚇出	活灵吓出	waq lin haq tshyuq
活龍	活龍	活龙	waq lon
活龍活現	活龍活現	活龙活现	waq lon waq yi
活脫塑子	活脱塑子	活脱塑子	waq thaq su tsy
活脫過數	活脱過數	活脱过数	waq thaq kou su
活脫印過	活脱印過	活脱印过	waq thaq in kou
活腳	活腳	活脚	waq ciaq
活絡	活絡	活络	waq loq
活裏活絡	活裏活絡	活里活络	waq li waq loq
活出離	活出離	活出离	waq tshyuq li
活結	活結	活结	waq ciq
雙套結	雙套結	双套结	saon thau ciq
紅毛瓶結	紅毛瓶結	红毛瓶结	ghon mau bin ciq
滑	滑	滑	waq8
滑子	滑子	滑子	waq tsy
滑稽戲	滑稽戲	滑稽戏	waq ci shi
滑奇奇	滑奇奇	滑奇奇	waq ji ji
滑頭	滑頭	滑头	waq deu
滑頭滑腦	滑頭滑腦	滑头滑脑	waq deu waq nau
滑頭碼子	滑頭碼子	滑头码子	waq deu mo tsy
滑腸	滑腸	滑肠	waq jian
滑相	滑相	滑相	waq shian
滑脫精光	滑脱精光	滑脱精光	waq thaq cin kuaon
滑澾精光	滑澾精光	滑㳠精光	waq daq cin kuaon
滑澾澾	滑澾澾	滑㳠㳠	waq daq daq
劃帳	劃帳	划帐	waq cian
𣝗	𣝗	𣝗	waq8
挖	挖	挖	uaq7
挖耳	挖耳	挖耳	uaq gni
挖○佬佬	挖○佬佬	挖○佬佬	uaq lau lau
挖袋	挖袋	挖袋	uaq de
挖打	挖打	挖打	uaq tan
挖井	挖井	挖井	uaq cin
挖壁打洞	挖壁打洞	挖壁打洞	uaq piq tan don
殟塞	殟塞	殟塞	uaq saq
䩊	䩊	䩊	uaq7
𩑦	𩑦	𩑦	uaq7
卜課	卜課	卜课	poq khou
卜卦	卜卦	卜卦	poq ko
卜課先生	卜課先生	卜课先生	poq khou shi san
北斗星	北斗星	北斗星	poq teu shin
北半邊	北半邊	北半边	poq pun pi
北面	北面	北面	poq mi
剝	剝	剥	poq7
剝皮大烤	剝皮大烤	剥皮大烤	poq bi dou khau
剝剝	剝剝	剥剥	poq poq
博	博	博	poq7
駁	駁	驳	poq7
駁船	駁船	驳船	poq zoe
魄屍	魄屍	魄尸	phoq sy
撲	撲	扑	phoq7
撲腦殼	撲腦殻	扑脑壳	phoq nau khoq
撲蓋頭	撲蓋頭	扑盖头	phoq ke deu
撲粉	撲粉	扑粉	phoq fen
撲粉頭	撲粉頭	扑粉头	phoq fen deu
撲克	撲克	扑克	phoq khaq
撲克牌	撲克牌	扑克牌	phoq khaq bae
撲克牌	撲克牌	扑克牌	phoq khaq ba
撲落	撲落	扑落	phoq loq
𩔈	𩔈	𩔈	phoq7
醭	醭	醭	phoq7
伏	伏	伏	boq8
雹子	雹子	雹子	boq tsy
薄	薄	薄	boq8
薄刀	薄刀	薄刀	boq tau
薄脆	薄脆	薄脆	boq tshei
薄耘耘	薄耘耘	薄耘耘	boq yun yun
薄薄個	薄薄個	薄薄个	boq boq kou
薄粥	薄粥	薄粥	boq tsoq
薄粥湯	薄粥湯	薄粥汤	boq tsoq thaon
木	木	木	moq8
木篤篤	木篤篤	木笃笃	moq toq toq
木性性	木性性	木性性	moq shin shin
木直直	木直直	木直直	moq jiq jiq
木冬冬	木冬冬	木冬冬	moq ton ton
木梳	木梳	木梳	moq sy
木知木覺	木知木覺	木知木觉	moq tsyu moq koq
木而覺知	木而覺知	木而觉知	moq er koq tsyu
木杮	木杮	木杮	moq fi
木蓮	木蓮	木莲	moq li
木蓮藤	木蓮藤	木莲藤	moq li den
木器店	木器店	木器店	moq chi ti
木乎乎	木乎乎	木乎乎	moq fu fu
木佬佬	木佬佬	木佬佬	moq lau lau
木馬	木馬	木马	moq mo
蠻矮凳	蠻矮凳	蛮矮凳	mae a ten
木瓜	木瓜	木瓜	moq ko
木家	木家	木家	moq ko
木材行	木材行	木材行	moq ze ghaon
木炭	木炭	木炭	moq thae
木手木腳	木手木腳	木手木脚	moq shieu moq ciaq
木大	木大	木大	moq dou
木倭樹	木倭樹	木倭树	moq ou zyu
木頭人案	木頭人案	木头人案	moq deu gnin e
木頭木腦	木頭木腦	木头木脑	moq deu moq nau
木頭木緒	木頭木緒	木头木绪	moq deu moq zyu
木箱	木箱	木箱	moq shian
木頭箱子	木頭箱子	木头箱子	moq deu shian tsy
木匠	木匠	木匠	moq zhian
木人	木人	木人	moq gnin
木屐鞋	木屐鞋	木屐鞋	moq jiq gha
木屐	木屐	木屐	moq jiq
木屑板	木屑板	木屑板	moq shiq pae
木耳	木耳	木耳	moq er
摸	摸	摸	moq8
摸蟹	摸蟹	摸蟹	moq ha
摸暗子	摸暗子	摸暗子	moq ei tsy
摸六株	摸六株	摸六株	moq loq tsyu
墨水	墨水	墨水	moq syu
墨暗	墨暗	墨暗	moq ei
墨斗	墨斗	墨斗	moq teu
墨斗線	墨斗綫	墨斗线	moq teu shi
墨黑	墨黑	墨黑	moq haq
墨盒	墨盒	墨盒	moq ghaq
墨綠	墨綠	墨绿	moq loq
墨筆	墨筆	墨笔	moq piq
